Date,Open,High,Low,Close,Volume,Adj Close
2014-07-07,198.90,199.15,196.25,196.85,32758500,187.702
2014-07-04,198.00,199.65,196.805,198.35,50176300,189.132
2014-07-03,195.25,197.80,194.70,196.55,54219600,187.416
2014-07-02,195.15,198.90,192.35,194.55,65149200,185.509
2014-07-01,196.15,199.118,195.10,196.05,42531700,186.939
2014-06-30,197.00,197.85,194.98,195.00,74642700,185.938
2014-06-27,195.10,196.50,194.50,196.25,54806700,187.13
2014-06-26,191.50,194.75,191.082,194.25,78000100,185.223
2014-06-25,189.15,191.90,188.95,189.80,67879900,180.979
2014-06-24,191.65,192.25,189.55,190.65,44573700,181.79
2014-06-23,191.15,192.50,189.50,191.50,45116800,182.60
2014-06-20,193.50,195.00,190.932,191.85,113417500,182.934
2014-06-19,198.60,205.32,194.65,194.85,63673500,185.795
2014-06-18,196.55,198.75,195.021,198.10,61458400,188.894
2014-06-17,194.00,197.597,192.90,195.25,59943200,186.176
2014-06-16,193.90,195.85,193.574,194.10,53227200,185.08
2014-06-13,196.40,203.02,193.605,195.00,59780400,185.938
2014-06-12,200.00,200.25,196.60,196.75,66964300,187.606
2014-06-11,202.30,203.369,198.75,199.40,89929800,190.133
2014-06-10,206.50,209.323,205.90,208.85,71554600,192.021
2014-06-09,207.95,209.60,207.223,207.95,34388000,191.194
2014-06-06,205.75,208.95,205.00,207.00,56725100,190.32
2014-06-05,205.80,206.00,202.625,204.00,58989000,187.562
2014-06-04,206.25,206.902,203.35,205.10,68985200,188.573
2014-06-03,209.60,209.60,206.382,207.55,66153200,190.826
2014-06-02,209.50,210.426,208.721,208.95,34688100,192.113
2014-05-30,209.50,210.792,208.70,209.50,63697600,192.619
2014-05-29,210.70,210.70,209.50,209.50,52827100,192.619
2014-05-28,207.75,210.22,207.195,209.75,55148800,192.849
2014-05-27,208.40,208.747,206.256,208.15,59927600,191.378
2014-05-26,206.356,206.356,206.356,206.356,000,189.728
2014-05-23,204.50,207.369,203.50,206.356,56580500,189.728
2014-05-22,206.10,206.10,203.30,204.15,64428000,187.70
2014-05-21,202.20,204.94,202.185,204.60,117411700,188.114
2014-05-20,210.00,213.935,204.25,205.30,167593400,188.757
2014-05-19,215.50,217.758,213.30,217.15,72733100,199.652
2014-05-16,217.10,217.60,214.55,217.15,76574600,199.652
2014-05-15,219.75,220.50,214.85,217.00,86578500,199.515
2014-05-14,220.00,222.50,219.35,222.10,68516700,204.204
2014-05-13,221.95,222.75,217.75,219.85,99635200,202.135
2014-05-12,226.70,226.95,223.40,224.45,60990600,206.364
2014-05-09,226.40,227.05,225.50,226.75,29924600,208.479
2014-05-08,225.35,227.15,222.50,226.95,55411600,208.663
2014-05-07,224.70,227.067,223.75,226.75,44755300,208.479
2014-05-06,224.00,226.606,222.566,223.90,69796000,205.859
2014-05-05,222.90,222.90,222.90,222.90,000,204.939
2014-05-02,221.55,224.85,220.786,222.90,73146500,204.939
2014-05-01,219.00,267.00,216.65,220.65,90017800,202.87
2014-04-30,222.10,225.35,221.65,223.95,70261500,205.905
2014-04-29,219.25,223.458,219.25,223.05,55920600,205.077
2014-04-28,218.70,220.40,216.872,218.85,42641700,201.215
2014-04-25,216.35,218.976,215.732,217.35,64227600,199.836
2014-04-24,215.90,216.55,214.611,216.40,55696400,198.963
2014-04-23,217.50,217.50,214.65,214.85,90913100,197.538
2014-04-22,215.55,217.268,214.95,217.05,67832200,199.561
2014-04-21,214.15,214.15,214.15,214.15,000,196.894
2014-04-18,214.15,214.15,214.15,214.15,000,196.894
2014-04-17,212.10,215.15,211.20,214.15,45891100,196.894
2014-04-16,212.40,213.238,210.60,212.00,44562000,194.917
2014-04-15,212.45,213.70,210.25,210.60,68436700,193.63
2014-04-14,213.00,214.10,210.85,212.95,86445200,195.791
2014-04-11,216.00,217.25,213.25,213.80,73517400,196.572
2014-04-10,223.05,223.05,217.25,217.85,64595100,200.296
2014-04-09,215.30,220.30,214.80,220.00,82833400,202.273
2014-04-08,217.30,220.35,213.60,215.00,82523800,197.676
2014-04-07,219.50,222.34,217.35,217.60,54273100,200.066
2014-04-04,219.00,221.25,215.85,219.80,153406300,202.089
2014-04-03,221.50,221.50,217.32,219.15,56313100,201.491
2014-04-02,221.35,222.80,220.30,221.15,53409000,203.33
2014-04-01,221.05,222.157,219.95,220.30,44541000,202.549
2014-03-31,220.45,221.972,219.55,220.30,72661900,202.549
2014-03-28,218.00,220.30,217.95,219.10,64529600,201.445
2014-03-27,220.60,220.60,217.90,218.00,90400900,200.434
2014-03-26,224.00,224.00,222.115,223.15,123473200,205.169
2014-03-25,222.25,224.00,221.79,222.80,65947100,204.847
2014-03-24,227.60,228.414,221.50,222.15,74659900,204.25
2014-03-21,227.85,229.00,226.858,227.20,81296100,208.893
2014-03-20,226.95,228.15,224.75,226.80,61871100,208.525
2014-03-19,227.00,229.10,226.35,227.70,62007200,209.352
2014-03-18,225.65,226.812,222.75,226.60,66259200,208.341
2014-03-17,223.30,226.576,222.60,226.00,58195800,207.789
2014-03-14,223.80,225.20,220.85,222.15,88345800,204.25
2014-03-13,230.00,230.24,224.40,224.40,72012300,206.318
2014-03-12,226.30,230.792,224.178,229.55,123911200,211.053
2014-03-11,230.00,230.414,225.30,226.25,139067000,208.019
2014-03-10,238.00,239.15,229.65,230.10,142005300,211.559
2014-03-07,247.05,247.90,238.65,238.65,101838700,219.42
2014-03-06,247.10,248.034,244.95,247.30,49819400,227.373
2014-03-05,248.70,249.16,246.05,246.25,46606900,226.408
2014-03-04,246.00,249.15,245.50,249.00,64052400,228.936
2014-03-03,246.80,247.90,243.30,243.55,77580400,223.925
2014-02-28,248.00,250.80,244.00,249.00,92453500,228.936
2014-02-27,245.00,250.091,241.875,246.85,92219600,226.959
2014-02-26,247.30,247.75,244.65,245.25,95804800,225.488
2014-02-25,247.45,249.44,246.00,246.95,160656200,227.051
2014-02-24,242.40,252.753,234.765,252.30,337074600,231.97
2014-02-21,134.159,135.194,129.559,134.50,304306400,226.714
2014-02-20,126.823,131.031,126.778,130.576,114106500,220.10
2014-02-19,126.566,127.391,126.385,127.022,111857600,214.109
2014-02-18,127.164,127.477,124.434,127.391,117334100,214.731
2014-02-17,124.207,127.424,124.207,126.538,71944900,213.293
2014-02-14,125.571,125.827,123.609,124.207,133869900,209.364
2014-02-13,125.116,125.978,124.076,125.941,209082500,212.287
2014-02-12,126.538,126.693,125.088,125.685,86009100,211.855
2014-02-11,126.566,127.988,125.593,125.97,108299000,212.335
2014-02-10,126.823,126.993,125.173,126.254,75248700,212.814
2014-02-07,126.823,127.618,126.055,126.254,116216300,212.814
2014-02-06,124.548,128.102,123.837,127.334,135155300,214.636
2014-02-05,124.235,125.116,122.642,122.785,116594200,206.967
2014-02-04,125.656,125.656,124.292,124.292,99235300,209.507
2014-02-03,127.988,129.35,125.97,126.31,99687400,212.91
2014-01-31,128.671,129.183,125.486,128.841,96441800,217.176
2014-01-30,129.268,129.353,127.135,128.33,62984700,216.313
